cust,hist_size,n_relevant,rf_recs,pop_recs,rf_hits,pop_hits
13389,2,13,"['22111', '22607', '22619', '22457', '22423']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13394,7,12,"['22086', '22083', '22910', '22178', '22993']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13404,1,2,"['23234', '23082', '23247', '22938', '23100']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13408,54,53,"['23169', '23013', '22456', '22726', '23127']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13410,4,5,"['79321', '22629', '22631', '23169', '21891']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13417,1,18,"['79321', '48194', '48188', '48173C', '20979']","['85123A', '22423', '85099B', '47566', '84879']",2,1
13418,17,15,"['22726', '22727', '22728', '22725', '23298']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13426,7,38,"['20914', '22819', '85150', '23245', '21519']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13427,2,6,"['82482', '22178', '21381', '22156', '22578']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13429,3,19,"['22577', '22578', '22865', '23201', '22398']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13430,1,20,"['23240', '22966', '22557', '84380', '23367']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13435,5,27,"['23188', '23169', '21463', '23130', '23075']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13437,5,18,"['22910', '22086', '23247', '23234', '22865']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13447,2,21,"['22505', '21485', '84029E', '22624', '22694']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13448,5,33,"['22866', '22867', '22632', '22835', '22865']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13450,5,9,"['22620', '22979', '22560', '22196', '21703']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13451,4,70,"['20728', '21899', '22382', '23321', '23159']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13455,1,16,"['82486', '22423', '85066', '82483', '22800']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13456,4,17,"['22910', '21791', '23313', '22139', '21889']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13458,12,40,"['85123A', '22470', '84879', '22139', '22086']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13467,1,20,"['21889', '22489', '23393', '48187', '22273']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13468,34,25,"['22179', '20828', '85123A', '48185', '46000M']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13471,1,151,"['20972', '22749', '22964', '22966', '22139']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13488,12,28,"['22697', '85123A', '23298', '21754', '22699']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13495,4,5,"['22112', '22835', '22113', '21485', '23082']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13496,1,9,"['84947', '84946', '22791', '84970L', '84970S']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13499,4,6,"['21929', '21811', '22577', '22578', '22470']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13500,2,27,"['22835', '22112', '22111', '22114', '22138']","['85123A', '22423', '85099B', '47566', '84879']",2,2
13502,2,9,"['20975', '22577', '23144', '22241', '23145']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13507,3,34,"['82484', '20914', '82486', '23300', '22470']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13509,6,5,"['20975', '20974', '20677', '20675', '22090']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13510,3,21,"['85099B', '22113', '22111', '21931', '22367']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13516,2,6,"['22722', '21891', '21892', '21914', '22086']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13525,1,4,"['84879', '23396', '23395', '22622', '23130']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13534,24,14,"['23203', '85099C', '22411', '22386', '23199']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13536,2,82,"['23355', '23318', '22086', '23313', '48138']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13546,2,37,"['22086', '22667', '21080', '22910', '21531']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13549,6,4,"['22423', '20914', '82483', '82482', '85099F']","['85123A', '22423', '85099B', '47566', '84879']",1,2
13557,1,18,"['21232', '16156S', '22646', '22055', '23355']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13558,2,74,"['22662', '23192', '23207', '21915', '20717']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13565,1,25,"['20972', '23300', '23266', '22696', '22578']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13569,1,54,"['22629', '20728', '21175', '22384', '21931']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13571,10,49,"['23294', '21733', '20712', '23293', '21175']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13575,4,7,"['20727', '20726', '23206', '82482', '22138']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13576,16,19,"['21137', '22041', '82580', '82001S', '21754']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13577,3,16,"['85099B', '20724', '23203', '23201', '22411']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13579,1,14,"['85048', '22835', '22114', '22469', '22112']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13588,7,13,"['23188', '22621', '22620', '21892', '21791']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13589,1,12,"['23355', '23344', '22423', '22835', '22595']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13590,5,15,"['22577', '22578', '84836', '84997D', '22865']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13599,12,44,"['23344', '23203', '23084', '22553', '22555']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13610,6,19,"['23295', '23294', '22734', '23296', '22910']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13614,3,91,"['23284', '22722', '22723', '22910', '22720']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13629,10,3,"['85099B', '85099F', '85099C', '21929', '21928']","['85123A', '22423', '85099B', '47566', '84879']",2,1
13630,6,4,"['22113', '22178', '84946', '84970L', '84970S']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13632,4,17,"['22727', '22728', '85123A', '22720', '84879']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13644,3,37,"['21165', '82582', '85150', '22663', '82581']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13647,3,18,"['22749', '23209', '22750', '84077', '84879']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13650,5,17,"['22193', '22086', '23293', '21673', '22909']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13657,1,7,"['22144', '21790', '21791', '22940', '84347']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13658,3,24,"['23200', '23344', '22385', '22553', '23355']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13668,18,80,"['22178', '22144', '47566', '22470', '22909']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13673,1,23,"['21890', '21892', '23237', '21891', '22619']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13680,3,60,"['21175', '22866', '23323', '23301', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13681,2,18,"['21733', '23301', '23322', '23321', '23300']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13685,3,13,"['22199', '22476', '21115', '22278', '84969']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13692,2,21,"['22029', '22616', '21915', '22037', '21508']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13694,45,50,"['85099F', '85099C', '23201', '23200', '23202']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13700,9,9,"['22866', '23355', '22865', '22112', '23300']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13704,7,21,"['23313', '22138', '22273', '22624', '22625']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13705,2,7,"['84879', '23084', '84950', '23322', '21136']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13709,11,28,"['23319', '22111', '23318', '22835', '22114']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13719,4,6,"['84879', '46000S', '23322', '46000M', '23321']","['85123A', '22423', '85099B', '47566', '84879']",1,1
13735,3,25,"['22940', '21914', '23313', '23247', '22909']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13736,1,112,"['22382', '20728', '23301', '85152', '23207']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13742,11,46,"['22624', '21754', '22191', '82484', '82494L']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13743,6,7,"['22560', '22561', '23188', '21891', '22493']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13755,4,152,"['84030E', '23356', '22834', '23029', '22384']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13756,10,19,"['21314', '22726', '22728', '22866', '22865']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13758,6,11,"['22086', '23344', '85123A', '23084', '79321']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13767,35,14,"['22697', '22699', '21314', '22698', '84879']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13769,9,16,"['22113', '85123A', '85150', '71477', '22112']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13777,28,22,"['20971', '85123A', '21232', '85099B', '22041']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13780,1,48,"['23388', '23345', '23390', '21791', '23346']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13782,5,15,"['23322', '23321', '21175', '85123A', '22766']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13784,10,1,"['84978', '84970S', '22151', '22698', '84970L']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13798,51,37,"['21928', '21166', '85099B', '85123A', '85152']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13808,4,13,"['23035', '23083', '84879', '22158', '23029']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13815,2,40,"['21928', '21929', '20712', '84997D', '22386']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13816,1,11,"['POST', '22326', '85183B', '23240', '22328']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13822,1,5,"['21326', '84536A', '84836', '22156', '84946']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13823,1,14,"['82583', '85152', '82484', '82494L', '48187']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13831,5,5,"['82486', '85123A', '21733', '82494L', '84077']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13835,3,6,"['85048', '21936', '21094', '22596', '21086']","['85123A', '22423', '85099B', '47566', '84879']",1,1
13838,3,45,"['23266', '23296', '23293', '23393', '23188']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13846,2,12,"['23084', '22086', '22727', '23328', '22083']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13854,23,8,"['21340', '84879', '20749', '22423', '22469']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13860,3,31,"['23083', '82494L', '23202', '22457', '22178']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13862,7,8,"['22993', '20728', '22178', '22384', '23209']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13868,1,1,"['23240', '23236', '23295', '22423', '85099B']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13870,7,4,"['22726', '22086', '22624', '22895', '85049A']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13871,12,23,"['22720', '82494L', '22178', '23243', '23344']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13880,12,25,"['22720', '23298', '22961', '71477', '22469']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13881,15,13,"['23301', '82582', '22993', '21181', '23284']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13882,3,28,"['22111', '22112', '21485', '48188', '23284']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13883,4,48,"['21977', '20914', '22723', '21975', '84991']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13884,4,13,"['21175', '82494L', '85123A', '82482', '82483']","['85123A', '22423', '85099B', '47566', '84879']",3,2
13890,5,39,"['22113', '22111', '22749', '21485', '23355']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13892,3,1,"['22699', '21791', '84949', '84970L', '22669']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13894,1,16,"['85123A', '22423', '84949', '22457', '22144']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13895,3,35,"['22457', '23493', '21485', '22083', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",3,3
13899,1,4,"['21891', '84879', '23355', '21890', '22960']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13914,1,17,"['22584', '22964', '21137', '22779', '84879']","['85123A', '22423', '85099B', '47566', '84879']",4,1
13924,3,51,"['20914', '22138', '23209', '21733', '22720']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13928,3,6,"['23118', '21135', '23110', '82483', '85066']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13939,2,11,"['22549', '22115', '84378', '22398', '22609']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13940,3,8,"['48138', '23355', '23322', '22086', '23284']","['85123A', '22423', '85099B', '47566', '84879']",2,0
13941,4,9,"['21731', '22179', '72741', '79321', '85175']","['85123A', '22423', '85099B', '47566', '84879']",5,0
13949,4,58,"['20725', '22138', '22384', '20914', '20727']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13950,2,18,"['82583', '22690', '22457', '23084', '84347']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13953,6,7,"['21086', '15036', '62018', '47566', '47599B']","['85123A', '22423', '85099B', '47566', '84879']",5,1
13954,1,12,"['22847', '23284', '85048', '22960', '22940']","['85123A', '22423', '85099B', '47566', '84879']",1,0
13956,4,20,"['22910', '22086', '22470', '20725', '20914']","['85123A', '22423', '85099B', '47566', '84879']",2,1
13960,1,8,"['23284', '22470', '22469', '23330', '22578']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13962,1,4,"['82486', '84879', '22487', '21340', '22423']","['85123A', '22423', '85099B', '47566', '84879']",2,1
13969,14,108,"['23298', '22728', '22727', '23208', '22910']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13971,7,19,"['20914', '22722', '22086', '22766', '22993']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13978,1,1,"['84879', '21034', '20668', '21080', '17003']","['85123A', '22423', '85099B', '47566', '84879']",0,0
13984,4,4,"['22457', '23355', '23084', '18097C', '21563']","['85123A', '22423', '85099B', '47566', '84879']",4,0
13985,11,58,"['84997D', '21558', '20914', '22385', '21559']","['85123A', '22423', '85099B', '47566', '84879']",5,2
13988,5,27,"['23203', '22865', '23300', '22302', '21232']","['85123A', '22423', '85099B', '47566', '84879']",3,1
13991,3,30,"['21231', '21034', '21232', '20727', '22577']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13994,5,5,"['22112', '23355', '23298', '21314', '22697']","['85123A', '22423', '85099B', '47566', '84879']",1,1
13995,4,13,"['20727', '23209', '22384', '23206', '20725']","['85123A', '22423', '85099B', '47566', '84879']",3,0
13999,11,20,"['23203', '22411', '23298', '23208', '47566']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14005,4,30,"['22728', '22727', '21210', '22726', '21213']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14020,1,21,"['22720', '84030E', '21791', '22578', '23013']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14023,1,15,"['22620', '23263', '22139', '22492', '23076']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14030,7,57,"['23351', '23349', '23350', '82482', '22077']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14031,17,24,"['22988', '23014', '23012', '84879', '48138']","['85123A', '22423', '85099B', '47566', '84879']",5,2
14032,8,22,"['22970', '22900', '23084', '22064', '22109']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14034,2,59,"['22156', '22402', '35961', '22335', '22439']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14044,3,24,"['85123A', '20727', '22383', '22384', '20725']","['85123A', '22423', '85099B', '47566', '84879']",1,1
14047,4,11,"['22467', '22898', '82484', '22752', '22367']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14049,3,204,"['20726', '20727', '22983', '21918', '23207']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14051,20,22,"['22697', '48138', '22698', '15056N', '22077']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14056,21,102,"['23201', '23207', '22077', '23298', '22727']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14057,16,14,"['22629', '22659', '23201', '22630', '22900']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14060,17,17,"['22178', '21791', '22900', '22970', '22467']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14062,11,14,"['21175', '82582', '21166', '21181', '85152']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14071,5,140,"['22632', '20727', '22383', '22384', '22865']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14075,1,22,"['20749', '23126', '22139', '22045', '23230']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14083,7,79,"['22195', '22551', '23332', '23350', '22554']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14085,14,76,"['21754', '21485', '82482', '23156', '22749']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14088,9,164,"['22580', '23130', '22910', '22508', '20969']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14092,11,34,"['22727', '20914', '22726', '23245', '23300']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14096,13,888,"['22720', '22457', '22961', '82482', '22699']","['85123A', '22423', '85099B', '47566', '84879']",5,4
14099,10,15,"['21754', '22312', '82582', '85150', '21165']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14102,2,15,"['21668', '21670', '21673', '21669', '22771']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14110,10,1,"['21137', '47566', '82582', '20723', '22041']","['85123A', '22423', '85099B', '47566', '84879']",1,0
14111,3,5,"['23503', '72741', '22632', '35970', '21592']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14112,6,6,"['22865', '22086', '22752', '23344', '84997B']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14113,2,21,"['22111', '22866', '84406B', '84378', '21232']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14116,4,8,"['22467', '22083', '22728', '21791', '22727']","['85123A', '22423', '85099B', '47566', '84879']",0,0
14121,2,69,"['22757', '23320', '22758', '23084', '84946']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14125,1,79,"['23108', '23029', '20728', '84879', '21889']","['85123A', '22423', '85099B', '47566', '84879']",4,2
14129,3,14,"['23126', '22993', '22585', '23127', '22568']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14132,9,39,"['22621', '10135', '22273', '22150', '22493']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14135,13,12,"['22835', '22112', '22111', '84029E', '22727']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14138,1,14,"['22867', '22866', '22865', '22111', '22114']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14140,1,26,"['20972', '23493', '22150', '22086', '22909']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14141,3,10,"['22112', '22720', '21485', '23355', '21181']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14146,4,73,"['22866', '22727', '20914', '22867', '22697']","['85123A', '22423', '85099B', '47566', '84879']",4,2
14156,52,68,"['22960', '23293', '22112', '21790', '23298']","['85123A', '22423', '85099B', '47566', '84879']",4,2
14157,1,9,"['23355', '21485', '22835', '22114', '22112']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14159,10,180,"['20728', '21976', '22382', '22951', '20725']","['85123A', '22423', '85099B', '47566', '84879']",5,2
14173,2,6,"['23083', '22633', '23439', '22906', '21592']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14178,5,100,"['22620', '22621', '22138', '23242', '22356']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14180,24,8,"['82484', '22424', '21216', '21754', '21533']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14189,13,35,"['22726', '84755', '21790', '22910', '82580']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14191,10,74,"['22577', '20723', '22595', '22356', '20724']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14194,18,109,"['47566', '22139', '23203', '23298', '22727']","['85123A', '22423', '85099B', '47566', '84879']",4,3
14198,3,10,"['82482', '82486', '82483', '22086', '48187']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14205,1,10,"['22865', '23300', '21524', '23284', '23301']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14209,5,6,"['22169', '21733', '82494L', '82482', '22804']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14215,5,28,"['22866', '22577', '22867', '20725', '22578']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14216,1,26,"['82494L', '82482', '82486', '82483', '23284']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14217,14,17,"['82484', '22457', '84792', '22624', '47566']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14227,9,15,"['21169', '22411', '23202', '23206', '23199']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14234,3,7,"['23275', '23263', '22144', '22150', '22601']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14243,9,6,"['82494L', '22835', '23243', '23355', '82483']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14250,1,37,"['22086', '22083', '22666', '23240', '22960']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14251,1,28,"['22086', '22732', '22734', '21791', '23158']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14258,8,8,"['82482', '82494L', '82486', '85123A', '82484']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14262,6,26,"['21914', '21791', '22144', '22141', '22150']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14277,1,147,"['23203', '22505', '21165', '21669', '20728']","['85123A', '22423', '85099B', '47566', '84879']",4,3
14282,11,22,"['23203', '21928', '21931', '20727', '85099C']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14285,3,5,"['22113', '22910', '22086', '23318', '22909']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14286,2,92,"['23192', '22746', '22563', '23351', '23177']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14287,2,5,"['22138', '21791', '47566', '22423', '20718']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14289,5,5,"['48194', '48184', '20685', '23084', '21524']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14290,4,16,"['23245', '22722', '22086', '22865', '22910']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14291,9,35,"['22662', '22382', '22149', '22027', '22629']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14292,7,7,"['23173', '23338', '85014B', '22698', '22423']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14293,3,21,"['22867', '22111', '22714', '22866', '21509']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14297,3,26,"['23333', '23265', '23266', '22596', '23329']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14298,43,14,"['21929', '85099F', '21928', '22386', '85099C']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14299,7,27,"['22699', '22865', '84879', '21889', '21166']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14309,8,18,"['23012', '22697', '22698', '23013', '22423']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14321,4,19,"['21506', '22037', '22983', '84879', '85048']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14329,5,17,"['20728', '22382', '22662', '23209', '21931']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14332,2,10,"['21034', '84347', '23322', '22470', '22866']","['85123A', '22423', '85099B', '47566', '84879']",2,1
14334,7,14,"['23300', '22077', '22367', '84945', '48187']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14335,1,19,"['22727', '22698', '22697', '23300', '22725']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14336,3,31,"['82482', '22175', '21733', '85123A', '22457']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14342,3,5,"['84879', '23245', '22423', '21500', '22457']","['85123A', '22423', '85099B', '47566', '84879']",2,1
14354,1,3,"['22601', '22734', '85199S', '22077', '85032A']","['85123A', '22423', '85099B', '47566', '84879']",0,0
14359,2,8,"['22113', '23301', '22699', '22697', '22698']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14367,14,33,"['47566', '23298', '23203', '23199', '22720']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14388,7,23,"['22411', '22385', '23203', '23202', '23245']","['85123A', '22423', '85099B', '47566', '84879']",3,1
14390,6,57,"['85099F', '21479', '22835', '84997A', '22384']","['85123A', '22423', '85099B', '47566', '84879']",5,3
14395,8,50,"['22505', '22112', '21485', '22173', '22507']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14397,15,10,"['23144', '22178', '84946', '82484', '22478']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14401,12,25,"['82483', '82486', '82494L', '82482', '21158']","['85123A', '22423', '85099B', '47566', '84879']",0,0
14408,6,8,"['21175', '85152', '21166', '21165', '21181']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14415,11,110,"['22867', '22112', '22111', '20685', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",5,2
14416,1,3,"['23084', '21136', '84879', '23201', '22584']","['85123A', '22423', '85099B', '47566', '84879']",1,0
14418,1,103,"['22095', '22467', '22326', '22457', '21791']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14419,5,46,"['22727', '22728', '22726', '22557', '22554']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14422,4,33,"['22112', '23355', '22111', '21485', '23301']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14426,8,23,"['20970', '20969', '84946', '22274', '22271']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14428,4,13,"['22720', '22722', '22666', '22507', '21257']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14432,4,102,"['22766', '82494L', '82482', '23439', '22632']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14434,5,2,"['23355', '23284', '23301', '21108', '21110']","['85123A', '22423', '85099B', '47566', '84879']",2,0
14440,4,9,"['82494L', '82482', '21754', '22457', '21755']","['85123A', '22423', '85099B', '47566', '84879']",4,0
14441,3,9,"['23355', '22112', '84029G', '22413', '23322']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14446,3,61,"['23318', '23319', '23343', '23349', '23353']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14447,4,14,"['23254', '22748', '20728', '23256', '22745']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14448,1,2,"['22470', '22457', '20978', '85014A', '85123A']","['85123A', '22423', '85099B', '47566', '84879']",2,1
14449,3,46,"['23083', '22210', '23082', '22197', '20971']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14452,1,29,"['22098', '84997B', '23300', '84997C', '84997D']","['85123A', '22423', '85099B', '47566', '84879']",5,0
14456,7,204,"['23203', '23202', '23199', '23321', '22557']","['85123A', '22423', '85099B', '47566', '84879']",4,3
14467,2,40,"['20972', '23321', '20971', '22568', '23333']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14470,1,8,"['22086', '84879', '22114', '23355', '23242']","['85123A', '22423', '85099B', '47566', '84879']",4,1
14477,3,3,"['23344', '23343', '85099C', '23199', '85099F']","['85123A', '22423', '85099B', '47566', '84879']",3,0
14482,5,11,"['22577', '22579', '22197', '22578', '85099B']","['85123A', '22423', '85099B', '47566', '84879']",5,1
14487,5,19,"['84946', '21314', '22698', '22867', '22866']","['85123A', '22423', '85099B', '47566', '84879']",2,0
